node_ip,bmc_ip,name,in_asset,in_monitor,gpu_candidate,platform_power_status,platform_agent_status,platform_verify_status,tags,node_exporter,dcgm_exporter,gpu_exporter,ipmi_exporter
10.111.101.1,,master-0,YES,YES,NO,开机,已安装,已验证,监控运维,UP,N/A,N/A,N/A
10.111.101.2,,master-1,YES,YES,NO,开机,已安装,已验证,监控运维,UP,N/A,N/A,N/A
10.111.101.3,,lexun-harbor01,YES,YES,NO,关机,安装失败,已验证,无问芯穹,DOWN,N/A,N/A,N/A
10.111.101.4,,ubuntu,YES,YES,NO,开机,已安装,已验证,无问芯穹,UP,N/A,N/A,N/A
10.111.101.9,,master-2,YES,YES,NO,开机,已安装,已验证,监控运维,UP,N/A,N/A,N/A
10.111.101.250,,pxe-server,YES,YES,NO,开机,已安装,已验证,"HTTP文件服务器,APT仓库",UP,N/A,N/A,N/A
10.114.4.1,10.114.1.1,ubuntu,YES,YES,NO,开机,已安装,已验证,跳板机,UP,N/A,N/A,N/A
10.114.4.6,10.114.1.6,master-01,YES,YES,NO,开机,已安装,已验证,无问芯穹,UP,N/A,N/A,N/A
10.114.4.7,10.114.1.7,master-02,YES,YES,NO,开机,已安装,已验证,无问芯穹,UP,N/A,N/A,N/A
10.114.4.8,10.114.1.8,master-03,YES,YES,NO,开机,已安装,已验证,无问芯穹,UP,N/A,N/A,N/A
10.114.4.9,10.114.1.9,nx-cpu-009,YES,YES,NO,开机,已安装,已验证,无问芯穹,UP,N/A,N/A,N/A
10.114.4.10,10.114.1.10,cpu-10,YES,YES,NO,开机,已安装,已验证,无问芯穹,UP,N/A,N/A,N/A
10.114.4.11,10.114.1.11,cpu-11,YES,YES,NO,开机,已安装,已验证,无问芯穹,UP,N/A,N/A,N/A
10.114.4.21,10.114.1.21,4090gpu-01,YES,YES,YES,开机,已安装,已验证,RTX4090,UP,UP,UP,UP
10.114.4.22,10.114.1.22,4090gpu-02,YES,YES,YES,开机,已安装,已验证,RTX4090,UP,UP,UP,UP
10.114.4.23,10.114.1.23,4090GPU-03,YES,YES,YES,开机,已安装,已验证,RTX4090,UP,UP,UP,UP
10.114.4.24,10.114.1.24,4090gpu-04,YES,YES,YES,开机,已安装,已验证,RTX4090,UP,UP,UP,UP
10.114.4.25,10.114.1.25,4090GPU-05,YES,YES,YES,开机,已安装,已验证,RTX4090,MISSING,MISSING,MISSING,UP
10.114.4.26,10.114.1.26,4090gpu-06,YES,YES,YES,开机,已安装,已验证,RTX4090,UP,UP,UP,UP
10.114.4.27,10.114.1.27,4090gpu-07,YES,YES,YES,开机,已安装,已验证,0423新增6台4090,UP,UP,UP,UP
10.114.4.28,10.114.1.28,4090gpu-08,YES,YES,YES,开机,已安装,已验证,0423新增6台4090,UP,UP,UP,UP
10.114.4.29,10.114.1.29,4090gpu-09,YES,YES,YES,开机,已安装,已验证,0423新增6台4090,UP,UP,UP,UP
10.114.4.30,10.114.1.30,4090gpu-10,YES,YES,YES,开机,已安装,已验证,0423新增6台4090,UP,UP,UP,UP
10.114.4.31,10.114.1.31,4090gpu-11,YES,YES,YES,开机,已安装,已验证,0423新增6台4090,UP,UP,UP,UP
10.114.4.32,10.114.1.32,4090gpu-12,YES,YES,YES,开机,已安装,已验证,0423新增6台4090,UP,UP,UP,UP
